time,state,label
Thu May 07 23:59:57 +0000 2020,az,1
Thu May 07 23:59:55 +0000 2020,sc,1
Thu May 07 23:59:51 +0000 2020,or,-1
Thu May 07 23:59:51 +0000 2020,co,-1
Thu May 07 23:59:49 +0000 2020,tn,1
Thu May 07 23:59:48 +0000 2020,mi,-1
Thu May 07 23:59:46 +0000 2020,ca,-1
Thu May 07 23:59:44 +0000 2020,co,-1
Thu May 07 23:59:43 +0000 2020,me,-1
Thu May 07 23:59:35 +0000 2020,ga,-1
Thu May 07 23:59:35 +0000 2020,fl,-1
Thu May 07 23:59:34 +0000 2020,ny,-1
Thu May 07 23:59:34 +0000 2020,tn,-1
Thu May 07 23:59:32 +0000 2020,ca,1
Thu May 07 23:59:32 +0000 2020,pa,-1
Thu May 07 23:59:28 +0000 2020,nj,-1
Thu May 07 23:59:25 +0000 2020,ny,-1
Thu May 07 23:59:20 +0000 2020,ga,-1
Thu May 07 23:59:19 +0000 2020,va,1
Thu May 07 23:59:18 +0000 2020,ny,1
Thu May 07 23:59:18 +0000 2020,sc,-1
Thu May 07 23:59:17 +0000 2020,co,-1
Thu May 07 23:59:16 +0000 2020,va,1
Thu May 07 23:59:14 +0000 2020,fl,-1
Thu May 07 23:59:14 +0000 2020,fl,-1
Thu May 07 23:59:09 +0000 2020,ny,1
Thu May 07 23:59:07 +0000 2020,ny,1
Thu May 07 23:58:57 +0000 2020,nc,1
Thu May 07 23:58:55 +0000 2020,in,1
Thu May 07 23:58:55 +0000 2020,ms,-1
Thu May 07 23:58:54 +0000 2020,or,-1
Thu May 07 23:58:54 +0000 2020,ky,-1
Thu May 07 23:58:54 +0000 2020,ny,-1
Thu May 07 23:58:54 +0000 2020,ca,-1
Thu May 07 23:58:53 +0000 2020,mn,1
Thu May 07 23:58:51 +0000 2020,ca,-1
Thu May 07 23:58:49 +0000 2020,mi,1
Thu May 07 23:58:48 +0000 2020,ga,1
Thu May 07 23:58:46 +0000 2020,me,-1
Thu May 07 23:58:40 +0000 2020,tx,-1
Thu May 07 23:58:37 +0000 2020,pa,1
Thu May 07 23:58:36 +0000 2020,ak,-1
Thu May 07 23:58:34 +0000 2020,fl,-1
Thu May 07 23:58:33 +0000 2020,dc,1
Thu May 07 23:58:32 +0000 2020,ca,1
Thu May 07 23:58:31 +0000 2020,co,1
Thu May 07 23:58:29 +0000 2020,ny,-1
Thu May 07 23:58:28 +0000 2020,az,-1
Thu May 07 23:58:27 +0000 2020,md,1
Thu May 07 23:58:27 +0000 2020,fl,-1
Thu May 07 23:58:12 +0000 2020,wy,-1
Thu May 07 23:58:09 +0000 2020,tx,1
Thu May 07 23:58:09 +0000 2020,ut,-1
Thu May 07 23:58:07 +0000 2020,nv,-1
Thu May 07 23:58:07 +0000 2020,ga,1
Thu May 07 23:58:06 +0000 2020,tx,1
Thu May 07 23:58:06 +0000 2020,oh,-1
Thu May 07 23:58:05 +0000 2020,dc,-1
Thu May 07 23:58:02 +0000 2020,in,-1
Thu May 07 23:58:02 +0000 2020,ga,-1
Thu May 07 23:58:00 +0000 2020,az,1
Thu May 07 23:57:56 +0000 2020,ny,-1
Thu May 07 23:57:51 +0000 2020,tx,-1
Thu May 07 23:57:45 +0000 2020,mo,-1
Thu May 07 23:57:45 +0000 2020,ca,-1
Thu May 07 23:57:44 +0000 2020,fl,-1
Thu May 07 23:57:43 +0000 2020,or,-1
Thu May 07 23:57:40 +0000 2020,ca,-1
Thu May 07 23:57:40 +0000 2020,co,-1
Thu May 07 23:57:38 +0000 2020,ca,1
Thu May 07 23:57:38 +0000 2020,fl,-1
Thu May 07 23:57:38 +0000 2020,ca,1
Thu May 07 23:57:36 +0000 2020,dc,-1
Thu May 07 23:57:35 +0000 2020,in,1
Thu May 07 23:57:33 +0000 2020,mo,-1
Thu May 07 23:57:32 +0000 2020,nc,1
Thu May 07 23:57:32 +0000 2020,nc,-1
Thu May 07 23:57:31 +0000 2020,ca,-1
Thu May 07 23:57:31 +0000 2020,tx,1
Thu May 07 23:57:31 +0000 2020,ca,-1
Thu May 07 23:57:27 +0000 2020,mo,1
Thu May 07 23:57:27 +0000 2020,ok,1
Thu May 07 23:57:24 +0000 2020,ri,1
Thu May 07 23:57:23 +0000 2020,tx,-1
Thu May 07 23:57:17 +0000 2020,ca,1
Thu May 07 23:57:15 +0000 2020,fl,-1
Thu May 07 23:57:07 +0000 2020,nv,1
Thu May 07 23:57:06 +0000 2020,oh,-1
Thu May 07 23:56:58 +0000 2020,il,-1
Thu May 07 23:56:56 +0000 2020,nc,1
Thu May 07 23:56:55 +0000 2020,ga,-1
Thu May 07 23:56:55 +0000 2020,az,1
Thu May 07 23:56:52 +0000 2020,fl,-1
Thu May 07 23:56:50 +0000 2020,mi,-1
Thu May 07 23:56:45 +0000 2020,fl,-1
Thu May 07 23:56:44 +0000 2020,fl,-1
Thu May 07 23:56:39 +0000 2020,ny,1
