time,state,label
Sat May 09 23:59:56 +0000 2020,ma,1
Sat May 09 23:59:55 +0000 2020,ms,-1
Sat May 09 23:59:54 +0000 2020,tx,1
Sat May 09 23:59:54 +0000 2020,mo,1
Sat May 09 23:59:51 +0000 2020,oh,1
Sat May 09 23:59:50 +0000 2020,wa,-1
Sat May 09 23:59:49 +0000 2020,mi,1
Sat May 09 23:59:32 +0000 2020,tx,1
Sat May 09 23:59:32 +0000 2020,ct,1
Sat May 09 23:59:31 +0000 2020,fl,1
Sat May 09 23:59:19 +0000 2020,oh,-1
Sat May 09 23:59:17 +0000 2020,ma,-1
Sat May 09 23:59:08 +0000 2020,tx,1
Sat May 09 23:59:05 +0000 2020,tn,1
Sat May 09 23:59:03 +0000 2020,de,-1
Sat May 09 23:59:02 +0000 2020,ca,1
Sat May 09 23:59:02 +0000 2020,pa,1
Sat May 09 23:59:02 +0000 2020,ca,-1
Sat May 09 23:59:02 +0000 2020,va,1
Sat May 09 23:59:00 +0000 2020,ca,-1
Sat May 09 23:58:52 +0000 2020,wa,1
Sat May 09 23:58:51 +0000 2020,ks,1
Sat May 09 23:58:49 +0000 2020,ca,1
Sat May 09 23:58:48 +0000 2020,nj,-1
Sat May 09 23:58:45 +0000 2020,ca,1
Sat May 09 23:58:44 +0000 2020,wi,1
Sat May 09 23:58:42 +0000 2020,md,-1
Sat May 09 23:58:39 +0000 2020,tx,-1
Sat May 09 23:58:34 +0000 2020,ca,1
Sat May 09 23:58:33 +0000 2020,wv,1
Sat May 09 23:58:32 +0000 2020,ca,1
Sat May 09 23:58:32 +0000 2020,mn,1
Sat May 09 23:58:31 +0000 2020,ca,-1
Sat May 09 23:58:30 +0000 2020,fl,1
Sat May 09 23:58:26 +0000 2020,md,-1
Sat May 09 23:58:25 +0000 2020,ca,1
Sat May 09 23:58:24 +0000 2020,pa,-1
Sat May 09 23:58:23 +0000 2020,md,-1
Sat May 09 23:58:16 +0000 2020,fl,1
Sat May 09 23:58:13 +0000 2020,ky,1
Sat May 09 23:58:11 +0000 2020,ca,-1
Sat May 09 23:58:09 +0000 2020,fl,-1
Sat May 09 23:58:07 +0000 2020,ca,-1
Sat May 09 23:58:06 +0000 2020,ca,1
Sat May 09 23:58:03 +0000 2020,ny,1
Sat May 09 23:58:02 +0000 2020,nj,1
Sat May 09 23:58:02 +0000 2020,ny,1
Sat May 09 23:58:01 +0000 2020,ny,1
Sat May 09 23:58:00 +0000 2020,wi,-1
Sat May 09 23:57:58 +0000 2020,oh,1
Sat May 09 23:57:58 +0000 2020,mi,-1
Sat May 09 23:57:56 +0000 2020,ca,1
Sat May 09 23:57:54 +0000 2020,pa,-1
Sat May 09 23:57:51 +0000 2020,nc,1
