time,state,label
Wed May 06 23:59:55 +0000 2020,va,1
Wed May 06 23:59:53 +0000 2020,ny,-1
Wed May 06 23:59:52 +0000 2020,ca,1
Wed May 06 23:59:47 +0000 2020,ca,-1
Wed May 06 23:59:45 +0000 2020,nj,-1
Wed May 06 23:59:45 +0000 2020,ca,1
Wed May 06 23:59:43 +0000 2020,wa,-1
Wed May 06 23:59:42 +0000 2020,al,-1
Wed May 06 23:59:42 +0000 2020,wa,-1
Wed May 06 23:59:41 +0000 2020,mn,-1
Wed May 06 23:59:39 +0000 2020,az,-1
Wed May 06 23:59:30 +0000 2020,tn,1
Wed May 06 23:59:28 +0000 2020,pa,1
Wed May 06 23:59:27 +0000 2020,ky,1
Wed May 06 23:59:27 +0000 2020,ca,-1
Wed May 06 23:59:24 +0000 2020,ga,-1
Wed May 06 23:59:19 +0000 2020,va,-1
Wed May 06 23:59:05 +0000 2020,mn,-1
Wed May 06 23:59:04 +0000 2020,va,-1
Wed May 06 23:59:02 +0000 2020,ak,1
Wed May 06 23:59:02 +0000 2020,tx,-1
Wed May 06 23:59:01 +0000 2020,nc,-1
Wed May 06 23:59:00 +0000 2020,wa,-1
Wed May 06 23:59:00 +0000 2020,wa,-1
Wed May 06 23:59:00 +0000 2020,ma,-1
Wed May 06 23:59:00 +0000 2020,va,-1
Wed May 06 23:58:57 +0000 2020,fl,-1
Wed May 06 23:58:54 +0000 2020,oh,-1
Wed May 06 23:58:53 +0000 2020,ca,1
Wed May 06 23:58:52 +0000 2020,fl,-1
Wed May 06 23:58:46 +0000 2020,ca,1
Wed May 06 23:58:44 +0000 2020,mn,1
Wed May 06 23:58:39 +0000 2020,oh,-1
Wed May 06 23:58:39 +0000 2020,ny,1
Wed May 06 23:58:37 +0000 2020,va,-1
Wed May 06 23:58:36 +0000 2020,fl,1
Wed May 06 23:58:35 +0000 2020,il,-1
Wed May 06 23:58:30 +0000 2020,tx,-1
Wed May 06 23:58:27 +0000 2020,ca,1
Wed May 06 23:58:26 +0000 2020,va,1
Wed May 06 23:58:21 +0000 2020,in,-1
Wed May 06 23:58:21 +0000 2020,ca,1
Wed May 06 23:58:19 +0000 2020,ca,-1
Wed May 06 23:58:18 +0000 2020,fl,1
Wed May 06 23:58:18 +0000 2020,la,-1
Wed May 06 23:58:15 +0000 2020,tx,1
Wed May 06 23:58:12 +0000 2020,pa,-1
Wed May 06 23:58:11 +0000 2020,ma,-1
Wed May 06 23:58:10 +0000 2020,ms,1
Wed May 06 23:58:08 +0000 2020,az,-1
Wed May 06 23:58:06 +0000 2020,wi,-1
Wed May 06 23:58:05 +0000 2020,or,1
Wed May 06 23:58:05 +0000 2020,ks,-1
Wed May 06 23:58:02 +0000 2020,wi,-1
Wed May 06 23:58:02 +0000 2020,in,-1
Wed May 06 23:58:00 +0000 2020,ny,-1
Wed May 06 23:57:59 +0000 2020,ga,-1
Wed May 06 23:57:58 +0000 2020,tx,1
Wed May 06 23:57:53 +0000 2020,ky,1
Wed May 06 23:57:53 +0000 2020,ny,-1
Wed May 06 23:57:52 +0000 2020,ny,1
Wed May 06 23:57:50 +0000 2020,va,-1
Wed May 06 23:57:49 +0000 2020,il,-1
Wed May 06 23:57:45 +0000 2020,mi,-1
Wed May 06 23:57:43 +0000 2020,ca,1
Wed May 06 23:57:43 +0000 2020,tx,-1
Wed May 06 23:57:42 +0000 2020,md,1
Wed May 06 23:57:40 +0000 2020,ga,1
Wed May 06 23:57:40 +0000 2020,il,-1
Wed May 06 23:57:39 +0000 2020,ca,-1
Wed May 06 23:57:32 +0000 2020,ca,-1
Wed May 06 23:57:30 +0000 2020,ca,1
Wed May 06 23:57:30 +0000 2020,ca,1
Wed May 06 23:57:25 +0000 2020,il,-1
Wed May 06 23:57:24 +0000 2020,oh,-1
Wed May 06 23:57:23 +0000 2020,mi,-1
Wed May 06 23:57:19 +0000 2020,az,1
Wed May 06 23:57:19 +0000 2020,ca,1
Wed May 06 23:57:18 +0000 2020,ak,-1
Wed May 06 23:57:12 +0000 2020,va,-1
Wed May 06 23:57:10 +0000 2020,ca,-1
Wed May 06 23:57:06 +0000 2020,ca,-1
Wed May 06 23:57:05 +0000 2020,wi,1
Wed May 06 23:57:04 +0000 2020,nc,-1
Wed May 06 23:57:02 +0000 2020,ca,-1
Wed May 06 23:57:01 +0000 2020,ga,-1
Wed May 06 23:56:53 +0000 2020,fl,-1
Wed May 06 23:56:52 +0000 2020,ca,-1
Wed May 06 23:56:50 +0000 2020,or,1
Wed May 06 23:56:47 +0000 2020,ga,-1
Wed May 06 23:56:44 +0000 2020,ny,-1
Wed May 06 23:56:41 +0000 2020,ct,-1
Wed May 06 23:56:41 +0000 2020,ca,-1
Wed May 06 23:56:39 +0000 2020,fl,1
Wed May 06 23:56:38 +0000 2020,nc,1
Wed May 06 23:56:34 +0000 2020,va,1
Wed May 06 23:56:33 +0000 2020,ia,-1
Wed May 06 23:56:32 +0000 2020,ca,1
Wed May 06 23:56:31 +0000 2020,ia,1
Wed May 06 23:56:29 +0000 2020,nj,-1
Wed May 06 23:56:25 +0000 2020,va,-1
Wed May 06 23:56:24 +0000 2020,ca,-1
Wed May 06 23:56:19 +0000 2020,fl,-1
Wed May 06 23:56:10 +0000 2020,tx,1
Wed May 06 23:56:09 +0000 2020,fl,-1
Wed May 06 23:56:09 +0000 2020,tx,-1
