,time,state,label
0,Fri May 08 23:59:58 +0000 2020,sc,-1
2,Fri May 08 23:59:50 +0000 2020,ny,-1
3,Fri May 08 23:59:50 +0000 2020,ok,1
4,Fri May 08 23:59:47 +0000 2020,ca,-1
5,Fri May 08 23:59:46 +0000 2020,ca,-1
6,Fri May 08 23:59:46 +0000 2020,pa,1
7,Fri May 08 23:59:38 +0000 2020,ca,1
8,Fri May 08 23:59:37 +0000 2020,va,-1
9,Fri May 08 23:59:35 +0000 2020,fl,-1
10,Fri May 08 23:59:34 +0000 2020,tx,1
11,Fri May 08 23:59:32 +0000 2020,ca,-1
12,Fri May 08 23:59:32 +0000 2020,or,1
13,Fri May 08 23:59:32 +0000 2020,wi,-1
14,Fri May 08 23:59:31 +0000 2020,in,1
15,Fri May 08 23:59:30 +0000 2020,ca,-1
16,Fri May 08 23:59:26 +0000 2020,nc,-1
18,Fri May 08 23:59:25 +0000 2020,ca,-1
19,Fri May 08 23:59:24 +0000 2020,ny,-1
20,Fri May 08 23:59:22 +0000 2020,ny,-1
21,Fri May 08 23:59:22 +0000 2020,il,-1
23,Fri May 08 23:59:16 +0000 2020,il,-1
24,Fri May 08 23:59:15 +0000 2020,or,-1
25,Fri May 08 23:59:14 +0000 2020,wa,-1
27,Fri May 08 23:59:10 +0000 2020,md,-1
28,Fri May 08 23:59:08 +0000 2020,md,-1
29,Fri May 08 23:59:06 +0000 2020,nj,-1
31,Fri May 08 23:59:05 +0000 2020,fl,1
32,Fri May 08 23:59:04 +0000 2020,fl,1
33,Fri May 08 23:59:04 +0000 2020,ar,-1
34,Fri May 08 23:59:03 +0000 2020,ia,-1
35,Fri May 08 23:59:03 +0000 2020,ga,-1
36,Fri May 08 23:58:57 +0000 2020,tx,-1
38,Fri May 08 23:58:55 +0000 2020,az,-1
39,Fri May 08 23:58:54 +0000 2020,tx,-1
40,Fri May 08 23:58:47 +0000 2020,oh,1
41,Fri May 08 23:58:46 +0000 2020,mn,-1
42,Fri May 08 23:58:42 +0000 2020,fl,1
44,Fri May 08 23:58:38 +0000 2020,al,-1
45,Fri May 08 23:58:38 +0000 2020,dc,-1
46,Fri May 08 23:58:37 +0000 2020,al,1
47,Fri May 08 23:58:37 +0000 2020,ca,1
48,Fri May 08 23:58:32 +0000 2020,ga,-1
49,Fri May 08 23:58:31 +0000 2020,ca,-1
50,Fri May 08 23:58:30 +0000 2020,pa,-1
51,Fri May 08 23:58:29 +0000 2020,fl,-1
52,Fri May 08 23:58:29 +0000 2020,ny,1
54,Fri May 08 23:58:23 +0000 2020,ga,-1
55,Fri May 08 23:58:22 +0000 2020,mi,-1
56,Fri May 08 23:58:18 +0000 2020,wa,-1
57,Fri May 08 23:58:17 +0000 2020,tx,-1
58,Fri May 08 23:58:16 +0000 2020,il,-1
60,Fri May 08 23:58:09 +0000 2020,ky,1
61,Fri May 08 23:58:06 +0000 2020,ct,-1
62,Fri May 08 23:58:06 +0000 2020,mt,1
63,Fri May 08 23:58:05 +0000 2020,fl,1
65,Fri May 08 23:58:01 +0000 2020,ca,-1
66,Fri May 08 23:58:01 +0000 2020,tx,-1
67,Fri May 08 23:57:59 +0000 2020,mi,-1
68,Fri May 08 23:57:58 +0000 2020,nj,-1
69,Fri May 08 23:57:58 +0000 2020,ca,1
70,Fri May 08 23:57:56 +0000 2020,ca,-1
71,Fri May 08 23:57:56 +0000 2020,mi,-1
72,Fri May 08 23:57:54 +0000 2020,va,-1
73,Fri May 08 23:57:49 +0000 2020,fl,-1
74,Fri May 08 23:57:49 +0000 2020,tx,-1
75,Fri May 08 23:57:46 +0000 2020,ny,-1
77,Fri May 08 23:57:43 +0000 2020,nm,1
79,Fri May 08 23:57:42 +0000 2020,fl,-1
80,Fri May 08 23:57:39 +0000 2020,mi,-1
81,Fri May 08 23:57:36 +0000 2020,pa,-1
82,Fri May 08 23:57:33 +0000 2020,ky,1
83,Fri May 08 23:57:25 +0000 2020,fl,-1
84,Fri May 08 23:57:23 +0000 2020,ca,1
85,Fri May 08 23:57:21 +0000 2020,md,-1
86,Fri May 08 23:57:18 +0000 2020,nc,1
87,Fri May 08 23:57:17 +0000 2020,ca,-1
88,Fri May 08 23:57:17 +0000 2020,nc,1
89,Fri May 08 23:57:15 +0000 2020,ks,-1
90,Fri May 08 23:57:14 +0000 2020,co,-1
91,Fri May 08 23:57:14 +0000 2020,ma,-1
92,Fri May 08 23:57:13 +0000 2020,ca,1
93,Fri May 08 23:57:12 +0000 2020,tx,-1
94,Fri May 08 23:57:09 +0000 2020,ca,1
96,Fri May 08 23:57:06 +0000 2020,ca,1
97,Fri May 08 23:57:05 +0000 2020,tx,-1
98,Fri May 08 23:57:03 +0000 2020,wa,-1
99,Fri May 08 23:57:02 +0000 2020,ct,1
100,Fri May 08 23:57:01 +0000 2020,or,1
101,Fri May 08 23:56:54 +0000 2020,mi,-1
102,Fri May 08 23:56:51 +0000 2020,ny,-1
103,Fri May 08 23:56:48 +0000 2020,nv,1
104,Fri May 08 23:56:44 +0000 2020,ca,-1
106,Fri May 08 23:56:42 +0000 2020,wa,-1
107,Fri May 08 23:56:41 +0000 2020,tx,1
108,Fri May 08 23:56:37 +0000 2020,ny,-1
109,Fri May 08 23:56:36 +0000 2020,va,-1
110,Fri May 08 23:56:33 +0000 2020,fl,-1
112,Fri May 08 23:56:28 +0000 2020,dc,-1
113,Fri May 08 23:56:27 +0000 2020,ca,1
114,Fri May 08 23:56:27 +0000 2020,fl,1
115,Fri May 08 23:56:23 +0000 2020,ca,1
116,Fri May 08 23:56:19 +0000 2020,mi,-1
117,Fri May 08 23:56:18 +0000 2020,ca,1
118,Fri May 08 23:56:17 +0000 2020,va,1
120,Fri May 08 23:56:16 +0000 2020,co,-1
121,Fri May 08 23:56:13 +0000 2020,ma,1
122,Fri May 08 23:56:12 +0000 2020,tx,1
124,Fri May 08 23:56:10 +0000 2020,ks,1
125,Fri May 08 23:56:10 +0000 2020,pa,-1
126,Fri May 08 23:56:09 +0000 2020,co,-1
129,Fri May 08 23:56:04 +0000 2020,ut,-1
130,Fri May 08 23:56:03 +0000 2020,wa,1
131,Fri May 08 23:56:02 +0000 2020,ca,-1
133,Fri May 08 23:56:00 +0000 2020,mo,1
135,Fri May 08 23:55:56 +0000 2020,il,-1
136,Fri May 08 23:55:54 +0000 2020,ms,1
137,Fri May 08 23:55:53 +0000 2020,fl,-1
138,Fri May 08 23:55:52 +0000 2020,ia,1
139,Fri May 08 23:55:43 +0000 2020,ga,-1
140,Fri May 08 23:55:42 +0000 2020,oh,-1
141,Fri May 08 23:55:38 +0000 2020,va,1
142,Fri May 08 23:55:37 +0000 2020,al,1
143,Fri May 08 23:55:33 +0000 2020,il,-1
144,Fri May 08 23:55:33 +0000 2020,nj,-1
145,Fri May 08 23:55:32 +0000 2020,va,-1
146,Fri May 08 23:55:32 +0000 2020,md,-1
147,Fri May 08 23:55:30 +0000 2020,tx,-1
148,Fri May 08 23:55:29 +0000 2020,pa,-1
151,Fri May 08 23:55:21 +0000 2020,fl,-1
153,Fri May 08 23:55:14 +0000 2020,ca,1
154,Fri May 08 23:55:14 +0000 2020,oh,-1
155,Fri May 08 23:55:13 +0000 2020,oh,-1
156,Fri May 08 23:55:13 +0000 2020,md,-1
157,Fri May 08 23:55:12 +0000 2020,co,1
158,Fri May 08 23:55:12 +0000 2020,tx,-1
159,Fri May 08 23:55:11 +0000 2020,ca,-1
161,Fri May 08 23:55:08 +0000 2020,ca,1
162,Fri May 08 23:55:04 +0000 2020,pa,-1
163,Fri May 08 23:55:03 +0000 2020,ny,-1
164,Fri May 08 23:54:59 +0000 2020,va,-1
165,Fri May 08 23:54:56 +0000 2020,ny,-1
166,Fri May 08 23:54:55 +0000 2020,az,-1
167,Fri May 08 23:54:55 +0000 2020,pa,-1
168,Fri May 08 23:54:53 +0000 2020,nj,1
169,Fri May 08 23:54:50 +0000 2020,ny,-1
170,Fri May 08 23:54:48 +0000 2020,oh,-1
172,Fri May 08 23:54:44 +0000 2020,ca,1
173,Fri May 08 23:54:38 +0000 2020,nc,-1
174,Fri May 08 23:54:38 +0000 2020,ga,-1
175,Fri May 08 23:54:33 +0000 2020,nj,1
176,Fri May 08 23:54:32 +0000 2020,ca,-1
177,Fri May 08 23:54:32 +0000 2020,fl,-1
178,Fri May 08 23:54:32 +0000 2020,ny,-1
179,Fri May 08 23:54:31 +0000 2020,ga,-1
180,Fri May 08 23:54:24 +0000 2020,md,-1
181,Fri May 08 23:54:24 +0000 2020,il,-1
182,Fri May 08 23:54:17 +0000 2020,ca,1
183,Fri May 08 23:54:16 +0000 2020,az,-1
184,Fri May 08 23:54:14 +0000 2020,ca,1
185,Fri May 08 23:54:10 +0000 2020,ca,-1
186,Fri May 08 23:54:10 +0000 2020,ma,1
187,Fri May 08 23:54:09 +0000 2020,ca,1
189,Fri May 08 23:54:08 +0000 2020,ks,-1
190,Fri May 08 23:54:06 +0000 2020,az,1
191,Fri May 08 23:54:05 +0000 2020,ga,-1
192,Fri May 08 23:54:03 +0000 2020,ca,-1
193,Fri May 08 23:54:02 +0000 2020,mi,-1
194,Fri May 08 23:54:01 +0000 2020,ny,1
196,Fri May 08 23:53:56 +0000 2020,ca,-1
198,Fri May 08 23:53:54 +0000 2020,pa,1
200,Fri May 08 23:53:54 +0000 2020,nh,1
201,Fri May 08 23:53:54 +0000 2020,wi,-1
202,Fri May 08 23:53:53 +0000 2020,fl,-1
203,Fri May 08 23:53:53 +0000 2020,fl,1
204,Fri May 08 23:53:51 +0000 2020,wi,1
205,Fri May 08 23:53:50 +0000 2020,nm,-1
206,Fri May 08 23:53:48 +0000 2020,oh,1
207,Fri May 08 23:53:44 +0000 2020,in,1
208,Fri May 08 23:53:41 +0000 2020,az,-1
209,Fri May 08 23:53:39 +0000 2020,ma,-1
210,Fri May 08 23:53:37 +0000 2020,oh,1
211,Fri May 08 23:53:37 +0000 2020,ny,1
212,Fri May 08 23:53:34 +0000 2020,fl,-1
213,Fri May 08 23:53:29 +0000 2020,pa,-1
214,Fri May 08 23:53:29 +0000 2020,me,1
215,Fri May 08 23:53:29 +0000 2020,ma,-1
216,Fri May 08 23:53:28 +0000 2020,pa,-1
217,Fri May 08 23:53:26 +0000 2020,ca,-1
218,Fri May 08 23:53:22 +0000 2020,il,1
220,Fri May 08 23:53:20 +0000 2020,ca,1
221,Fri May 08 23:53:20 +0000 2020,ny,-1
222,Fri May 08 23:53:20 +0000 2020,mn,-1
223,Fri May 08 23:53:15 +0000 2020,nj,1
224,Fri May 08 23:53:12 +0000 2020,fl,-1
225,Fri May 08 23:53:11 +0000 2020,ny,-1
226,Fri May 08 23:53:09 +0000 2020,nj,-1
227,Fri May 08 23:53:09 +0000 2020,ga,1
228,Fri May 08 23:53:06 +0000 2020,ca,-1
229,Fri May 08 23:53:04 +0000 2020,md,-1
230,Fri May 08 23:53:02 +0000 2020,nv,1
231,Fri May 08 23:52:57 +0000 2020,ca,-1
232,Fri May 08 23:52:56 +0000 2020,ca,-1
233,Fri May 08 23:52:56 +0000 2020,tx,1
234,Fri May 08 23:52:53 +0000 2020,fl,-1
235,Fri May 08 23:52:52 +0000 2020,sc,-1
236,Fri May 08 23:52:49 +0000 2020,ny,-1
237,Fri May 08 23:52:47 +0000 2020,ct,-1
238,Fri May 08 23:52:46 +0000 2020,tx,-1
