,time,state,label
1,Thu May 21 23:59:44 +0000 2020,ga,-1
3,Thu May 21 23:59:35 +0000 2020,tx,1
4,Thu May 21 23:59:31 +0000 2020,ca,1
5,Thu May 21 23:59:28 +0000 2020,tn,-1
6,Thu May 21 23:59:24 +0000 2020,in,1
7,Thu May 21 23:59:20 +0000 2020,ca,-1
8,Thu May 21 23:59:16 +0000 2020,oh,-1
9,Thu May 21 23:59:14 +0000 2020,co,1
10,Thu May 21 23:59:09 +0000 2020,ny,1
11,Thu May 21 23:59:05 +0000 2020,mn,-1
12,Thu May 21 23:58:59 +0000 2020,nc,1
13,Thu May 21 23:58:54 +0000 2020,ca,-1
14,Thu May 21 23:58:46 +0000 2020,fl,1
15,Thu May 21 23:58:44 +0000 2020,fl,1
16,Thu May 21 23:58:43 +0000 2020,mi,-1
17,Thu May 21 23:58:41 +0000 2020,mi,1
18,Thu May 21 23:58:39 +0000 2020,fl,1
19,Thu May 21 23:58:33 +0000 2020,ca,1
22,Thu May 21 23:58:30 +0000 2020,az,1
23,Thu May 21 23:58:23 +0000 2020,nj,-1
24,Thu May 21 23:58:19 +0000 2020,mo,1
25,Thu May 21 23:58:18 +0000 2020,fl,1
26,Thu May 21 23:58:11 +0000 2020,fl,1
28,Thu May 21 23:58:06 +0000 2020,ne,1
29,Thu May 21 23:58:03 +0000 2020,ri,1
30,Thu May 21 23:57:58 +0000 2020,ar,1
31,Thu May 21 23:57:57 +0000 2020,nj,-1
32,Thu May 21 23:57:54 +0000 2020,va,-1
33,Thu May 21 23:57:53 +0000 2020,ny,-1
34,Thu May 21 23:57:51 +0000 2020,ky,1
35,Thu May 21 23:57:37 +0000 2020,id,-1
36,Thu May 21 23:57:32 +0000 2020,tx,1
37,Thu May 21 23:57:21 +0000 2020,mi,1
38,Thu May 21 23:57:18 +0000 2020,va,-1
39,Thu May 21 23:57:08 +0000 2020,tx,1
40,Thu May 21 23:57:08 +0000 2020,pa,1
41,Thu May 21 23:57:08 +0000 2020,ca,-1
42,Thu May 21 23:57:06 +0000 2020,tx,-1
43,Thu May 21 23:57:05 +0000 2020,sc,1
44,Thu May 21 23:57:03 +0000 2020,il,1
45,Thu May 21 23:57:01 +0000 2020,fl,1
46,Thu May 21 23:56:55 +0000 2020,fl,1
47,Thu May 21 23:56:54 +0000 2020,pa,-1
48,Thu May 21 23:56:48 +0000 2020,nv,-1
49,Thu May 21 23:56:47 +0000 2020,tx,-1
51,Thu May 21 23:56:36 +0000 2020,ca,1
52,Thu May 21 23:56:31 +0000 2020,ks,1
53,Thu May 21 23:56:25 +0000 2020,il,-1
54,Thu May 21 23:56:24 +0000 2020,dc,-1
55,Thu May 21 23:56:21 +0000 2020,il,1
56,Thu May 21 23:56:20 +0000 2020,ny,-1
57,Thu May 21 23:56:18 +0000 2020,co,-1
58,Thu May 21 23:56:18 +0000 2020,tx,1
59,Thu May 21 23:56:16 +0000 2020,az,1
60,Thu May 21 23:56:15 +0000 2020,fl,-1
61,Thu May 21 23:56:11 +0000 2020,ca,-1
62,Thu May 21 23:56:05 +0000 2020,ks,1
63,Thu May 21 23:56:04 +0000 2020,fl,1
64,Thu May 21 23:55:58 +0000 2020,il,-1
65,Thu May 21 23:55:56 +0000 2020,tx,-1
66,Thu May 21 23:55:54 +0000 2020,nc,1
67,Thu May 21 23:55:45 +0000 2020,pa,1
68,Thu May 21 23:55:42 +0000 2020,az,1
69,Thu May 21 23:55:41 +0000 2020,ca,-1
71,Thu May 21 23:55:34 +0000 2020,pa,1
72,Thu May 21 23:55:33 +0000 2020,hi,1
73,Thu May 21 23:55:33 +0000 2020,pa,1
75,Thu May 21 23:55:22 +0000 2020,tx,1
76,Thu May 21 23:55:22 +0000 2020,fl,-1
78,Thu May 21 23:55:15 +0000 2020,ca,-1
79,Thu May 21 23:55:14 +0000 2020,ca,1
80,Thu May 21 23:55:12 +0000 2020,mt,-1
81,Thu May 21 23:55:11 +0000 2020,nj,1
82,Thu May 21 23:55:10 +0000 2020,ny,1
84,Thu May 21 23:55:07 +0000 2020,fl,1
85,Thu May 21 23:55:03 +0000 2020,nj,1
86,Thu May 21 23:55:00 +0000 2020,al,1
87,Thu May 21 23:54:58 +0000 2020,ks,-1
88,Thu May 21 23:54:54 +0000 2020,az,1
89,Thu May 21 23:54:50 +0000 2020,ga,1
91,Thu May 21 23:54:45 +0000 2020,fl,-1
92,Thu May 21 23:54:44 +0000 2020,tn,1
93,Thu May 21 23:54:39 +0000 2020,or,-1
94,Thu May 21 23:54:36 +0000 2020,fl,1
95,Thu May 21 23:54:34 +0000 2020,or,1
96,Thu May 21 23:54:33 +0000 2020,ca,1
97,Thu May 21 23:54:30 +0000 2020,ca,1
98,Thu May 21 23:54:29 +0000 2020,mi,1
99,Thu May 21 23:54:28 +0000 2020,or,1
100,Thu May 21 23:54:25 +0000 2020,fl,1
101,Thu May 21 23:54:23 +0000 2020,tx,-1
102,Thu May 21 23:54:23 +0000 2020,fl,-1
104,Thu May 21 23:54:18 +0000 2020,ms,1
105,Thu May 21 23:54:10 +0000 2020,az,1
106,Thu May 21 23:54:10 +0000 2020,ca,-1
107,Thu May 21 23:54:05 +0000 2020,oh,-1
109,Thu May 21 23:54:02 +0000 2020,ok,1
110,Thu May 21 23:54:01 +0000 2020,wv,1
112,Thu May 21 23:53:54 +0000 2020,ca,-1
113,Thu May 21 23:53:54 +0000 2020,ky,1
114,Thu May 21 23:53:51 +0000 2020,md,-1
115,Thu May 21 23:53:49 +0000 2020,az,1
116,Thu May 21 23:53:44 +0000 2020,mo,-1
117,Thu May 21 23:53:43 +0000 2020,az,-1
118,Thu May 21 23:53:41 +0000 2020,ga,-1
119,Thu May 21 23:53:41 +0000 2020,ny,-1
121,Thu May 21 23:53:35 +0000 2020,pa,1
122,Thu May 21 23:53:31 +0000 2020,tn,1
123,Thu May 21 23:53:29 +0000 2020,ny,-1
124,Thu May 21 23:53:27 +0000 2020,va,-1
125,Thu May 21 23:53:26 +0000 2020,ny,1
126,Thu May 21 23:53:21 +0000 2020,tx,1
127,Thu May 21 23:53:21 +0000 2020,pa,1
128,Thu May 21 23:53:17 +0000 2020,mi,1
129,Thu May 21 23:53:15 +0000 2020,or,-1
130,Thu May 21 23:53:06 +0000 2020,wa,1
131,Thu May 21 23:53:03 +0000 2020,il,-1
132,Thu May 21 23:53:02 +0000 2020,oh,-1
133,Thu May 21 23:53:00 +0000 2020,ca,1
135,Thu May 21 23:52:58 +0000 2020,or,-1
136,Thu May 21 23:52:53 +0000 2020,az,1
137,Thu May 21 23:52:52 +0000 2020,ny,-1
138,Thu May 21 23:52:48 +0000 2020,mi,1
139,Thu May 21 23:52:46 +0000 2020,nc,1
140,Thu May 21 23:52:31 +0000 2020,ny,-1
141,Thu May 21 23:52:21 +0000 2020,mi,-1
142,Thu May 21 23:52:18 +0000 2020,or,1
144,Thu May 21 23:52:11 +0000 2020,ga,1
146,Thu May 21 23:52:05 +0000 2020,ne,-1
147,Thu May 21 23:52:04 +0000 2020,pa,1
148,Thu May 21 23:51:57 +0000 2020,tx,-1
149,Thu May 21 23:51:55 +0000 2020,fl,1
150,Thu May 21 23:51:51 +0000 2020,tx,-1
151,Thu May 21 23:51:48 +0000 2020,ct,1
152,Thu May 21 23:51:47 +0000 2020,fl,-1
153,Thu May 21 23:51:45 +0000 2020,ct,1
154,Thu May 21 23:51:42 +0000 2020,ms,1
155,Thu May 21 23:51:40 +0000 2020,or,-1
156,Thu May 21 23:51:35 +0000 2020,la,1
157,Thu May 21 23:51:35 +0000 2020,ny,-1
158,Thu May 21 23:51:28 +0000 2020,ca,1
159,Thu May 21 23:51:27 +0000 2020,or,-1
