time,state,label
Wed May 27 23:59:55 +0000 2020,nc,-1
Wed May 27 23:59:54 +0000 2020,ia,-1
Wed May 27 23:59:51 +0000 2020,tn,-1
Wed May 27 23:59:46 +0000 2020,pa,-1
Wed May 27 23:59:43 +0000 2020,ca,1
Wed May 27 23:59:30 +0000 2020,md,1
Wed May 27 23:59:18 +0000 2020,ca,1
Wed May 27 23:59:14 +0000 2020,ca,1
Wed May 27 23:59:12 +0000 2020,ca,1
Wed May 27 23:59:11 +0000 2020,ca,-1
Wed May 27 23:59:10 +0000 2020,il,1
Wed May 27 23:58:59 +0000 2020,ca,-1
Wed May 27 23:58:56 +0000 2020,pa,-1
Wed May 27 23:58:56 +0000 2020,pa,-1
Wed May 27 23:58:53 +0000 2020,ny,-1
Wed May 27 23:58:46 +0000 2020,ca,1
Wed May 27 23:58:46 +0000 2020,ar,1
Wed May 27 23:58:44 +0000 2020,fl,-1
Wed May 27 23:58:40 +0000 2020,nv,1
Wed May 27 23:58:39 +0000 2020,ca,-1
Wed May 27 23:58:35 +0000 2020,md,1
Wed May 27 23:58:35 +0000 2020,tx,1
Wed May 27 23:58:30 +0000 2020,ky,-1
Wed May 27 23:58:20 +0000 2020,nc,-1
Wed May 27 23:58:20 +0000 2020,il,1
Wed May 27 23:58:15 +0000 2020,nj,-1
Wed May 27 23:58:12 +0000 2020,md,1
Wed May 27 23:58:10 +0000 2020,ks,-1
Wed May 27 23:58:08 +0000 2020,mi,-1
Wed May 27 23:58:08 +0000 2020,pa,1
Wed May 27 23:58:03 +0000 2020,oh,1
Wed May 27 23:58:02 +0000 2020,ca,-1
Wed May 27 23:57:58 +0000 2020,or,1
Wed May 27 23:57:58 +0000 2020,pa,-1
Wed May 27 23:57:51 +0000 2020,fl,-1
Wed May 27 23:57:32 +0000 2020,va,1
Wed May 27 23:57:31 +0000 2020,dc,1
Wed May 27 23:57:27 +0000 2020,ia,1
Wed May 27 23:57:26 +0000 2020,dc,-1
Wed May 27 23:57:24 +0000 2020,sc,-1
Wed May 27 23:57:18 +0000 2020,wa,-1
Wed May 27 23:57:03 +0000 2020,co,1
Wed May 27 23:56:47 +0000 2020,fl,-1
Wed May 27 23:56:46 +0000 2020,il,-1
Wed May 27 23:56:41 +0000 2020,fl,1
Wed May 27 23:56:40 +0000 2020,ca,1
Wed May 27 23:56:33 +0000 2020,ca,-1
Wed May 27 23:56:19 +0000 2020,fl,-1
Wed May 27 23:56:17 +0000 2020,fl,-1
Wed May 27 23:56:15 +0000 2020,ca,-1
Wed May 27 23:56:05 +0000 2020,mn,-1
Wed May 27 23:55:59 +0000 2020,ri,-1
Wed May 27 23:55:55 +0000 2020,az,-1
Wed May 27 23:55:54 +0000 2020,ca,-1
Wed May 27 23:55:53 +0000 2020,tx,-1
Wed May 27 23:55:52 +0000 2020,fl,-1
